year,price,km_traveled,tax,engineSize,km_per_liters,model,transmission,fuel_type
1995,12795,24846.60026,260,1.8,20.3643976,Monte Carlo,Semi-Auto,Hybrid
2007,11298,73321.5304,145,1.0,19.6841672,Express 1500 Passenger,Manual,Diesel
2012,7000,85827.71154,0,2.5,36.3923264,Silverado 2500 HD Extended Cab,Other,Diesel
2014,6450,21269.03744,0,1.3,23.0853192,Express 2500 Passenger,Automatic,Other
2000,10250,28968.12,135,1.0,28.6121912,Lumina,Automatic,Petrol
2011,7998,12874.72,0,1.0,26.6990432,Express 2500 Cargo,Automatic,Petrol
1996,20795,15840.733619999999,0,1.0,33.373804,Cavalier,Other,Hybrid
1992,9990,83412.0922,150,1.3,31.588199200000002,Sportvan G20,Semi-Auto,Hybrid
2004,16995,1269.76926,145,1.2,29.334936000000003,Colorado Regular Cab,Other,Other
2000,5195,91217.3912,145,1.5,20.0242824,Metro,Automatic,Hybrid
2013,4698,33451.74124,0,1.0,25.5511544,Express 1500 Passenger,Manual,Diesel
2014,7795,16093.4,145,1.8,32.4384872,Suburban 1500,Semi-Auto,Hybrid
2015,11495,65178.27,135,1.0,12.796834400000002,Trax,Semi-Auto,Diesel
2019,15950,56326.9,145,1.5,29.292421600000004,Malibu,Other,Other
2018,11499,109435.12,0,1.8,23.552977600000002,Spark,Manual,Petrol
2011,9350,44660.79434,135,2.0,24.658352,Colorado Crew Cab,Semi-Auto,Hybrid
1998,8500,21763.10482,165,1.5,24.658352,Cavalier,Other,Hybrid
1996,13998,4610.7591,0,1.8,30.780425600000004,Tahoe,Other,Hybrid
2003,6342,526.25418,125,1.5,20.3643976,Express 1500 Passenger,Manual,Diesel
2011,8250,37322.20394,140,1.0,25.040981600000002,Silverado 1500 Extended Cab,Manual,Petrol
2012,7000,21326.97368,0,1.8,30.0151664,Silverado 1500 Regular Cab,Semi-Auto,Hybrid
2009,10585,18658.68796,145,1.8,30.0151664,Silverado 1500 Extended Cab,Manual,Petrol
2011,2991,17665.72518,0,1.6,14.667468000000001,Silverado 2500 HD Crew Cab,Manual,Diesel
2013,10995,36488.56582,145,2.5,29.292421600000004,Silverado 3500 HD Crew Cab,Semi-Auto,Hybrid
2001,7995,27703.17876,30,1.8,18.493764000000002,Silverado 1500 HD Crew Cab,Semi-Auto,Other
2008,13395,1221.4890599999999,0,1.0,20.3643976,Malibu (Classic),Other,Diesel
1998,8000,24841.77224,125,1.5,31.588199200000002,2500 HD Extended Cab,Manual,Petrol
2008,16291,48066.15778,145,1.0,25.040981600000002,Silverado 1500 Crew Cab,Other,Hybrid
2007,10495,6669.10496,0,1.8,27.931960800000002,Colorado Crew Cab,Semi-Auto,Hybrid
2005,12995,47605.88654,145,1.8,32.4384872,Cobalt,Automatic,Hybrid
2008,6100,27189.7993,145,1.5,29.292421600000004,Silverado 3500 HD Regular Cab,Other,Diesel
2007,5495,7242.03,135,1.0,17.175817600000002,Uplander Cargo,Semi-Auto,Other
2015,6390,43540.693699999996,145,1.8,23.552977600000002,Silverado 1500 Double Cab,Automatic,Petrol
2011,6995,11477.81288,135,1.5,29.292421600000004,Silverado 2500 HD Regular Cab,Automatic,Other
1997,11780,5632.69,0,1.0,24.4882944,3500 Extended Cab,Manual,Other
2010,9495,97810.85718,0,1.0,22.2350312,Silverado 2500 HD Extended Cab,Other,Diesel
2007,23690,27144.73778,0,1.3,29.292421600000004,Silverado 2500 HD Extended Cab,Other,Diesel
2016,11000,31184.18118,145,1.8,27.8894464,Silverado 1500 Regular Cab,Semi-Auto,Hybrid
2007,7495,50924.34562,30,1.0,20.3643976,Aveo,Other,Diesel
2007,21990,41615.92306,150,1.0,30.780425600000004,Express 2500 Cargo,Automatic,Petrol
2015,3491,4459.48114,0,2.4,24.658352,Equinox,Manual,Diesel
1993,8650,42047.22618,0,1.2,24.658352,1500 Extended Cab,Manual,Other
1992,13500,22756.0676,125,1.0,24.020636,3500 Regular Cab,Semi-Auto,Other
2010,9450,14632.11928,150,1.2,23.552977600000002,Colorado Regular Cab,Other,Other
2003,15490,27690.30404,0,1.0,24.658352,Express 3500 Passenger,Other,Diesel
2019,9694,21975.5377,150,1.0,24.658352,Silverado 2500 HD Double Cab,Other,Petrol
1995,9990,29887.05314,0,2.0,24.530808800000003,Impala,Manual,Diesel
1993,8333,18029.43602,145,1.8,33.161232,3500 Crew Cab,Semi-Auto,Petrol
2016,12170,58258.108,145,3.0,29.334936000000003,Impala Limited,Semi-Auto,Hybrid
2014,7490,15792.45342,145,1.5,17.175817600000002,Volt,Automatic,Hybrid
2011,18998,24120.78792,145,1.0,20.3643976,Silverado 3500 HD Extended Cab,Automatic,Other
2005,10995,14685.227499999999,145,1.5,33.161232,Colorado Crew Cab,Semi-Auto,Hybrid
1994,10890,22516.27594,140,1.0,31.588199200000002,Lumina Passenger,Other,Petrol
2018,6699,10309.43204,0,2.5,27.8894464,Colorado Crew Cab,Semi-Auto,Hybrid
2001,10390,38426.21118,0,1.0,26.1038416,Express 2500 Cargo,Automatic,Petrol
1997,32995,18303.02382,0,1.0,30.780425600000004,Suburban 2500,Automatic,Petrol
2002,20990,27761.115,145,1.0,24.530808800000003,S10 Regular Cab,Manual,Other
2004,7072,43806.2348,135,1.8,34.3091208,Malibu,Other,Other
1998,22000,17784.81634,150,1.4,22.6601752,3500 Extended Cab,Manual,Other
2008,12295,28277.71314,150,1.8,20.3643976,Colorado Extended Cab,Manual,Other
2010,10995,19106.08448,145,1.0,36.3923264,Avalanche,Other,Hybrid
2005,25350,22376.26336,135,1.3,29.334936000000003,Silverado 2500 HD Regular Cab,Automatic,Other
2004,16795,13108.0743,0,1.3,29.334936000000003,Tracker,Other,Diesel
1992,7998,48317.21482,0,1.5,33.373804,Astro Cargo,Semi-Auto,Hybrid
1999,12491,28968.12,145,1.0,29.334936000000003,Silverado 2500 Regular Cab,Automatic,Petrol
2019,23790,21763.10482,0,2.4,30.780425600000004,Colorado Extended Cab,Manual,Other
2014,7500,39609.07608,145,1.5,18.2386776,Spark EV,Manual,Petrol
2019,7480,30384.3392,145,1.3,33.161232,Silverado 1500 Crew Cab,Other,Hybrid
1995,4159,804.67,20,2.0,17.9410768,Caprice Classic,Manual,Other
1999,9850,99779.08,145,1.0,29.292421600000004,Camaro,Manual,Petrol
1996,25288,65886.3796,150,1.5,36.562384,Express 1500 Passenger,Manual,Diesel
2006,25499,545.5662599999999,145,1.8,21.0871424,Silverado 2500 HD Crew Cab,Manual,Diesel
2012,9998,22517.88528,0,1.6,29.334936000000003,Silverado 3500 HD Regular Cab,Other,Diesel
2003,7395,35228.4526,0,1.0,24.530808800000003,Express 1500 Cargo,Semi-Auto,Other
2016,17498,58700.6765,150,1.8,25.5511544,Malibu Limited,Manual,Petrol
1996,17989,8455.47236,135,1.2,36.3923264,Monte Carlo,Semi-Auto,Hybrid
2010,10490,37891.9103,135,2.0,31.588199200000002,Suburban 1500,Semi-Auto,Hybrid
2019,6698,60807.30256,0,1.0,21.0871424,Silverado 1500 LD Double Cab,Automatic,Diesel
1994,12500,26554.11,145,2.0,24.658352,Beretta,Semi-Auto,Other
2012,9990,41261.86826,0,1.0,24.020636,Volt,Automatic,Hybrid
1993,19991,25743.00264,135,1.3,20.0242824,Astro Passenger,Manual,Other
1995,8799,34293.42606,0,2.0,29.292421600000004,Blazer,Other,Hybrid
1993,7495,21000.27766,145,1.0,25.040981600000002,Blazer,Other,Hybrid
2007,7498,92413.13082,0,1.5,36.3923264,Suburban 2500,Automatic,Petrol
2015,22450,19204.25422,145,1.3,29.292421600000004,Express 2500 Cargo,Automatic,Petrol
2004,6500,40478.11968,150,2.5,31.588199200000002,Cavalier,Other,Hybrid
1995,12933,40072.566,30,1.0,14.8375256,Suburban 1500,Semi-Auto,Hybrid
1994,12999,17821.83116,30,1.3,29.292421600000004,S10 Extended Cab,Automatic,Diesel
1993,9940,16138.46152,30,1.3,20.3643976,3500 Extended Cab,Manual,Other
2000,6995,17665.72518,30,3.0,36.3923264,3500 Regular Cab,Semi-Auto,Other
2009,4798,63163.37632,0,2.0,24.658352,Express 3500 Passenger,Other,Diesel
2013,11490,23074.71692,0,2.5,29.334936000000003,Captiva Sport,Manual,Other
2015,24995,8.0467,145,2.5,29.292421600000004,Express 3500 Passenger,Other,Diesel
1995,10280,126333.19,145,2.0,29.292421600000004,3500 HD Extended Cab,Other,Hybrid
2020,8995,99772.64264,240,1.8,29.334936000000003,Spark,Manual,Petrol
2001,16490,16.0934,145,2.5,24.020636,Silverado 1500 Extended Cab,Manual,Petrol
1993,5899,20185.95162,260,1.0,25.040981600000002,Lumina APV,Semi-Auto,Other
2003,23550,11376.42446,145,1.3,15.390212800000002,Silverado 1500 HD Crew Cab,Semi-Auto,Other
1996,9195,104677.91096,0,1.5,23.552977600000002,Astro Passenger,Manual,Other
2011,6795,72626.29552,0,1.8,32.4384872,Equinox,Manual,Diesel
2008,7800,24140.1,30,1.0,24.020636,Cobalt,Automatic,Hybrid
2008,14788,69309.44578,145,1.5,20.3643976,Avalanche,Other,Hybrid
2017,7200,22696.52202,30,1.0,21.0871424,Silverado 3500 HD Regular Cab,Other,Diesel
2002,17895,53037.40904,135,1.8,29.334936000000003,Astro Passenger,Manual,Other
1998,21000,71110.29724,0,1.2,29.334936000000003,2500 Regular Cab,Automatic,Diesel
2005,11498,32436.2477,145,1.8,33.161232,Impala,Manual,Diesel
2010,21995,43806.2348,145,1.5,29.334936000000003,Suburban 1500,Semi-Auto,Hybrid
1996,9000,32025.865999999998,150,1.8,36.562384,2500 HD Extended Cab,Manual,Petrol
2012,9295,34092.25856,145,1.8,33.161232,Express 3500 Cargo,Manual,Other
2020,12750,69969.27518,0,1.5,20.0242824,Blazer,Other,Hybrid
1999,20689,56489.44334,265,2.5,29.292421600000004,Express 2500 Passenger,Automatic,Other
2013,15995,339.57074,0,1.8,28.059504,Impala,Manual,Diesel
1993,6498,36132.90168,260,1.8,23.552977600000002,APV Cargo,Semi-Auto,Diesel
2002,7995,19117.34986,0,1.5,20.0242824,Silverado 2500 HD Regular Cab,Automatic,Other
1996,2500,18755.24836,0,1.5,24.4882944,Suburban 2500,Automatic,Petrol
2003,10995,16053.1665,0,1.5,33.161232,Express 2500 Cargo,Automatic,Petrol
2005,8991,58156.71958,30,1.0,24.020636,Silverado 2500 HD Crew Cab,Manual,Diesel
2001,22998,4935.84578,145,1.3,24.020636,Suburban 2500,Automatic,Petrol
2004,7698,53475.14952,145,1.5,33.373804,Silverado 2500 Regular Cab,Automatic,Petrol
2004,9495,69821.2159,0,1.0,32.4384872,Colorado Regular Cab,Other,Other
2002,10660,113529.28096,0,1.3,20.0242824,Venture Cargo,Automatic,Hybrid
2013,23466,64315.66376,200,1.0,27.931960800000002,Silverado 3500 HD Crew Cab,Semi-Auto,Hybrid
2005,13790,37452.56048,135,1.5,23.552977600000002,Silverado 2500 HD Crew Cab,Manual,Diesel
1996,7698,4881.12822,145,1.5,28.6121912,G-Series 2500,Other,Petrol
2015,21995,40233.5,140,1.5,32.4384872,Camaro,Manual,Petrol
1997,10192,44918.288739999996,30,1.8,21.8524016,G-Series 2500,Other,Petrol
2018,5750,3606.53094,0,2.0,29.334936000000003,Corvette,Semi-Auto,Hybrid
2010,22000,11263.77066,30,1.0,30.0151664,Express 3500 Passenger,Other,Diesel
2006,10995,36969.75848,145,1.0,29.292421600000004,Express 2500 Cargo,Automatic,Petrol
1992,17861,19320.1267,30,1.0,24.020636,2500 Extended Cab,Other,Diesel
2011,25650,43286.41798,150,2.5,33.161232,Express 2500 Passenger,Automatic,Other
2000,25495,20921.42,145,1.5,21.8524016,Silverado 2500 HD Regular Cab,Automatic,Other
1995,10500,34671.62096,145,1.0,29.334936000000003,Caprice Classic,Manual,Other
2001,9026,7781.1589,0,1.8,32.4384872,Express 1500 Cargo,Semi-Auto,Other
2005,9991,34491.37488,0,1.5,24.658352,Express 2500 Passenger,Automatic,Other
1992,9999,34100.30526,30,2.4,24.530808800000003,3500 Regular Cab,Semi-Auto,Other
2014,12495,38567.833099999996,145,1.0,25.040981600000002,Equinox,Manual,Diesel
1994,8495,51498.88,145,1.0,29.334936000000003,Cavalier,Other,Hybrid
1996,12999,11461.71948,145,1.3,23.382920000000002,Cavalier,Other,Hybrid
2002,11923,101792.36434,0,1.8,30.780425600000004,Tracker,Other,Diesel
1994,6850,16091.79066,0,1.3,32.4384872,Lumina Passenger,Other,Petrol
2005,14871,87865.13598,150,1.0,24.020636,Express 2500 Passenger,Automatic,Other
2019,9791,28404.851,260,0.0,17.643476,Suburban,Other,Petrol
1999,11495,42872.8176,150,1.0,24.020636,Astro Cargo,Semi-Auto,Hybrid
1996,9995,23174.496,0,1.8,34.3091208,Lumina Passenger,Other,Petrol
1997,6495,15723.2518,145,1.0,16.665644800000003,S10 Regular Cab,Manual,Other
1997,7590,25668.972999999998,260,1.8,28.6121912,1500 Extended Cab,Manual,Other
2007,10450,1221.4890599999999,200,1.5,30.0151664,Express 3500 Passenger,Other,Diesel
1994,23995,9950.54922,145,1.8,28.6121912,S10 Extended Cab,Automatic,Diesel
2003,39495,17234.42206,0,1.0,29.292421600000004,Venture Cargo,Automatic,Hybrid
1997,9780,10649.00278,145,1.5,24.020636,Malibu,Other,Other
1999,25490,23187.37072,150,1.8,26.1038416,Prizm,Automatic,Hybrid
2007,4490,20808.7662,30,1.8,29.292421600000004,Tahoe,Other,Hybrid
2006,10790,60807.30256,145,1.8,25.040981600000002,Avalanche 2500,Semi-Auto,Petrol
2007,14995,89934.74722,150,2.0,24.020636,Silverado 1500 Regular Cab,Semi-Auto,Hybrid
2009,21799,26744.01212,20,1.5,29.292421600000004,Express 1500 Passenger,Manual,Diesel
2002,26700,16095.00934,150,1.5,24.4882944,Prizm,Automatic,Hybrid
2019,5999,33886.26304,0,1.4,24.020636,Volt,Automatic,Hybrid
1992,9595,6994.19164,0,3.0,29.292421600000004,Blazer,Other,Hybrid
1993,21000,27073.92682,0,2.5,16.665644800000003,Blazer,Other,Hybrid
2015,7599,61613.5819,0,1.8,24.020636,Silverado 3500 HD Regular Cab,Other,Diesel
2007,9791,19155.97402,0,1.5,29.334936000000003,Silverado 3500 HD Extended Cab,Automatic,Other
2002,10698,31475.47172,20,1.0,28.6121912,Astro Passenger,Manual,Other
2005,8990,20757.26732,135,1.0,24.4882944,Impala,Manual,Diesel
2017,12998,25681.84772,135,1.2,31.588199200000002,Silverado 1500 Regular Cab,Semi-Auto,Hybrid
2005,11695,25265.02866,145,1.8,24.020636,Silverado 1500 HD Crew Cab,Semi-Auto,Other
2009,12690,5943.29262,0,1.0,16.4530728,Express 3500 Cargo,Manual,Other
2002,7998,1792.80476,145,1.5,27.931960800000002,Silverado 2500 HD Extended Cab,Other,Diesel
1999,12500,64383.25604,0,1.5,29.292421600000004,Suburban 1500,Semi-Auto,Hybrid
2019,21750,37048.61614,145,2.0,24.020636,Sonic,Manual,Hybrid
1996,20298,16130.41482,145,2.0,33.161232,1500 Regular Cab,Manual,Other
2012,7998,58671.70838,0,2.0,24.020636,Camaro,Manual,Petrol
1994,6091,54242.8047,30,1.5,24.020636,3500 Regular Cab,Semi-Auto,Other
2004,22520,1469.32742,30,1.5,28.059504,Tracker,Other,Diesel
2020,12803,23089.20098,145,1.8,31.588199200000002,Equinox,Manual,Diesel
2013,12990,22982.98454,145,1.5,24.020636,Express 3500 Cargo,Manual,Other
2014,9450,35456.97888,0,1.8,24.658352,Express 3500 Cargo,Manual,Other
2000,8200,15019.97022,20,1.5,31.588199200000002,Silverado 2500 Extended Cab,Manual,Diesel
2006,20790,64977.1025,145,1.3,24.020636,TrailBlazer,Other,Petrol
2001,15369,1044.46166,145,1.3,31.588199200000002,Silverado 2500 Extended Cab,Manual,Diesel
2011,25595,18949.9785,140,1.0,17.175817600000002,Colorado Extended Cab,Manual,Other
2013,18999,16938.303499999998,145,1.5,30.0151664,Corvette,Semi-Auto,Hybrid
1996,13500,53882.31254,0,1.0,29.292421600000004,Suburban 2500,Automatic,Petrol
2013,5999,65654.63464,145,1.5,22.532632,Impala,Manual,Diesel
2005,10995,62025.57294,145,1.3,26.6990432,Venture Passenger,Manual,Hybrid
2016,8973,21780.80756,125,2.5,29.334936000000003,Colorado Extended Cab,Manual,Other
2012,12436,40233.5,150,2.0,22.532632,Suburban 1500,Semi-Auto,Hybrid
2015,13599,44739.652,145,1.0,28.6121912,Silverado 1500 Crew Cab,Other,Hybrid
2009,7998,15515.64694,30,1.8,33.373804,Express 1500 Passenger,Manual,Diesel
2003,10300,25342.27698,135,1.8,29.334936000000003,Silverado 1500 Extended Cab,Manual,Petrol
1997,19543,33570.8324,135,1.0,32.481001600000006,Malibu,Other,Other
2007,18000,35896.3287,145,1.8,33.373804,Express 1500 Passenger,Manual,Diesel
1997,9995,24846.60026,145,2.2,20.3643976,1500 Extended Cab,Manual,Other
2003,9500,55839.26998,125,1.8,24.020636,Silverado 2500 Extended Cab,Manual,Diesel
1995,10998,79013.76598,0,1.0,25.040981600000002,Astro Cargo,Semi-Auto,Hybrid
2011,22461,17514.44722,0,1.0,29.334936000000003,Silverado 2500 HD Crew Cab,Manual,Diesel
2017,16872,9530.51148,0,1.5,29.292421600000004,Express 3500 Cargo,Manual,Other
1992,19000,2616.78684,150,1.3,29.334936000000003,G-Series G30,Automatic,Hybrid
2007,22390,64227.15006,135,1.2,20.3643976,Silverado (Classic) 2500 HD Regular Cab,Manual,Other
2013,11990,112291.6985,145,1.0,24.4882944,Impala,Manual,Diesel
2008,8495,13812.96522,145,1.5,24.020636,Silverado 3500 HD Crew Cab,Semi-Auto,Hybrid
1995,12950,48109.60996,0,1.2,36.3923264,1500 Extended Cab,Manual,Other
2002,20298,78857.66,30,2.0,25.040981600000002,Impala,Manual,Diesel
2010,27893,88373.68742,0,1.0,26.1038416,Silverado 2500 HD Extended Cab,Other,Diesel
2016,16995,5737.2971,145,1.2,29.292421600000004,Malibu,Other,Other
2015,8699,30025.45638,135,1.8,29.292421600000004,Malibu,Other,Other
2016,6995,39317.78554,145,1.5,32.4384872,Express 2500 Passenger,Automatic,Other
2007,5850,57801.05544,30,1.0,29.334936000000003,Silverado 2500 HD Extended Cab,Other,Diesel
1997,12790,10460.71,145,1.8,23.382920000000002,Express 3500 Passenger,Other,Diesel
2004,6100,55163.34718,0,1.5,29.334936000000003,Aveo,Other,Diesel
1994,7995,11432.75136,20,1.3,20.3643976,G-Series G20,Manual,Other
2020,7695,51004.81262,140,1.5,29.292421600000004,Bolt EV,Manual,Hybrid
2016,9690,16375.0345,145,1.6,29.334936000000003,City Express,Automatic,Hybrid
1998,21790,19527.73156,125,2.4,33.373804,Prizm,Automatic,Hybrid
1997,8306,93620.13582,145,1.5,14.8375256,Astro Passenger,Manual,Other
2011,8300,19202.64488,135,1.8,29.292421600000004,Express 3500 Passenger,Other,Diesel
1992,10995,39428.83,145,1.5,36.562384,Astro Cargo,Semi-Auto,Hybrid
2012,12995,172199.38,145,2.4,27.931960800000002,Express 2500 Cargo,Automatic,Petrol
1999,20000,74029.64,30,1.0,17.643476,3500 Regular Cab,Semi-Auto,Other
2017,7750,52322.86208,0,1.0,33.373804,Silverado 3500 HD Crew Cab,Semi-Auto,Hybrid
1996,17589,27453.73106,0,1.5,25.040981600000002,3500 Crew Cab,Semi-Auto,Petrol
1995,8695,56326.9,145,1.0,32.4384872,Caprice Classic,Manual,Other
2020,7480,252.66638,145,1.8,29.292421600000004,Colorado Crew Cab,Semi-Auto,Hybrid
2003,9830,13679.39,150,1.5,24.020636,Express 2500 Cargo,Automatic,Petrol
1998,12200,36546.50206,150,1.5,29.292421600000004,G-Series 2500,Other,Petrol
1996,8495,94144.78066,20,1.3,24.530808800000003,Astro Cargo,Semi-Auto,Hybrid
1992,9995,59294.52296,145,1.3,28.059504,G-Series G20,Manual,Other
2006,16095,50449.59032,145,1.0,20.0242824,Avalanche 2500,Semi-Auto,Petrol
2000,44990,21071.08862,0,1.8,20.3643976,Astro Cargo,Semi-Auto,Hybrid
2001,13975,35896.3287,145,1.5,23.382920000000002,Impala,Manual,Diesel
1998,13500,27442.46568,145,1.5,28.059504,Malibu,Other,Other
2005,21995,241.401,20,1.3,33.373804,TrailBlazer,Other,Petrol
1993,14500,49754.35544,240,2.0,20.3643976,APV Cargo,Semi-Auto,Diesel
2009,5985,24082.16376,145,1.5,30.0151664,Silverado 1500 Extended Cab,Manual,Petrol
2014,7500,85295.02,150,2.0,24.020636,Tahoe,Other,Hybrid
1994,10795,10716.59506,145,1.8,29.334936000000003,Cavalier,Other,Hybrid
2005,6594,25969.91958,145,1.8,20.3643976,Avalanche 1500,Other,Other
2015,11998,17110.50288,0,1.5,24.658352,Colorado Extended Cab,Manual,Other
2018,52990,35279.95148,135,2.0,23.382920000000002,Silverado 3500 HD Double Cab,Manual,Other
2019,6795,22271.65626,145,1.8,31.588199200000002,Express 3500 Cargo,Manual,Other
2017,12100,56547.37958,145,1.8,29.334936000000003,Silverado 1500 Double Cab,Automatic,Petrol
2009,15900,22530.76,145,1.5,21.724858400000002,Impala,Manual,Diesel
2000,17235,4448.21576,205,1.8,24.658352,3500 Crew Cab,Semi-Auto,Petrol
2017,11000,36789.5124,150,1.5,25.040981600000002,Trax,Semi-Auto,Diesel
1998,23998,12552.852,145,1.3,25.040981600000002,2500 HD Extended Cab,Manual,Petrol
2002,14998,32946.40848,0,1.0,27.931960800000002,Impala,Manual,Diesel
2000,16995,8.0467,140,1.0,24.020636,Tahoe,Other,Hybrid
2005,19950,1804.07014,150,1.5,36.562384,Express 3500 Passenger,Other,Diesel
1994,7240,19052.97626,150,1.5,14.667468000000001,S10 Extended Cab,Automatic,Diesel
1994,9490,26393.176,325,2.8,20.3643976,S10 Regular Cab,Manual,Other
2017,11000,136793.9,0,1.0,29.334936000000003,SS,Manual,Petrol
2004,8550,26769.76156,205,1.8,29.292421600000004,Malibu,Other,Other
1992,5699,23335.43,30,1.0,32.4384872,Cavalier,Other,Hybrid
2009,8795,44562.6246,140,1.8,29.334936000000003,HHR,Automatic,Petrol
2014,4495,3661.2485,0,1.0,25.040981600000002,Silverado 2500 HD Regular Cab,Automatic,Other
1998,19990,39720.120539999996,0,1.0,20.3643976,2500 Extended Cab,Other,Diesel
2012,8998,24967.30076,0,1.5,33.373804,Silverado 1500 Extended Cab,Manual,Petrol
2001,8369,39564.01456,0,1.5,25.040981600000002,Astro Cargo,Semi-Auto,Hybrid
2001,16980,4881.12822,145,1.0,24.530808800000003,Malibu,Other,Other
2007,17995,24461.968,145,1.0,18.493764000000002,Tahoe,Other,Hybrid
2002,12795,16.0934,145,1.0,33.161232,Venture Passenger,Manual,Hybrid
1996,11495,43825.54688,145,2.5,29.292421600000004,Beretta,Semi-Auto,Other
1996,2300,56347.82142,145,1.0,30.780425600000004,1500 Regular Cab,Manual,Other
2000,13675,14614.41654,0,1.8,34.3091208,Venture Cargo,Automatic,Hybrid
2010,9340,52303.55,145,1.5,24.4882944,Impala,Manual,Diesel
2011,7495,3210.6333,0,1.0,34.3091208,Suburban 2500,Automatic,Petrol
1999,12495,29801.75812,0,1.5,32.4384872,Astro Passenger,Manual,Other
2000,16491,23898.699,20,1.0,33.161232,Tracker,Other,Diesel
2002,10295,5666.48614,150,1.8,24.658352,Express 3500 Passenger,Other,Diesel
2012,9800,18661.90664,0,1.3,24.4882944,Colorado Regular Cab,Other,Other
2019,16872,32589.135,145,2.5,24.658352,Cruze,Automatic,Hybrid
2011,11520,59225.32134,150,1.0,20.0242824,Corvette,Semi-Auto,Hybrid
2020,9498,44033.15174,145,1.8,30.780425600000004,Malibu,Other,Other
2018,21995,14698.10222,30,1.2,33.161232,Impala,Manual,Diesel
2018,9288,42682.91548,0,1.0,36.3923264,Corvette,Semi-Auto,Hybrid
2015,7892,37658.556,30,2.4,23.382920000000002,Tahoe,Other,Hybrid
2005,4698,7242.03,30,1.0,14.114780800000002,Cavalier,Other,Hybrid
